bookid	responseid	num_sentences	Emotional_impact	Narrative_feeling	Reflection	Aesthetic_feeling	All
41143	397367	4	0	1	1	0	2
41143	397370	4	3	0	0	0	3
41143	397372	4	0	0	0	0	0
41143	397374	4	1	1	0	0	2
41143	397376	4	0	0	0	2	2
41143	397380	4	0	2	0	1	3
41143	397386	4	0	2	0	1	3
41143	397390	4	1	0	0	1	2
41143	397393	4	0	2	0	1	3
41143	397403	4	1	3	1	3	8
41143	397407	4	0	0	0	0	0
41143	397415	4	0	0	1	1	2
41143	397418	4	0	0	0	0	0
41143	397422	4	0	0	0	0	0
41143	397427	4	1	1	0	2	4
41143	397432	4	1	0	0	0	1
41143	397450	4	3	1	0	0	4
41143	397457	4	0	0	2	1	3
41143	397460	4	1	0	1	0	2
41143	397462	4	2	2	0	1	5
41143	397463	4	2	2	0	0	4
41143	397476	4	0	0	3	0	3
41143	397496	4	0	0	0	1	1
41143	397504	4	0	0	0	0	0
41143	397516	4	0	1	1	1	3
41143	397517	4	2	0	0	0	2
41143	397524	4	1	1	0	0	2
41143	397525	4	0	1	0	0	1
41143	397529	4	2	0	0	1	3
41143	397534	4	0	2	1	1	4
41143	397546	4	1	1	0	1	3
41143	397549	4	0	0	0	2	2
41143	397551	4	0	2	0	2	4
41143	397553	4	2	0	0	0	2
41143	397555	4	0	0	0	0	0
41143	397558	4	1	0	0	1	2
41143	397564	4	4	1	1	2	8
41143	397567	4	1	0	0	0	1
41143	397568	4	0	1	0	0	1
41143	397571	4	2	2	0	0	4
41143	397586	4	0	3	0	1	4
41143	397587	4	1	1	0	0	2
41143	397588	4	1	0	0	0	1
41143	397591	4	0	1	0	0	1
41143	397594	4	0	1	0	0	1
41143	397603	4	0	4	0	0	4
41143	397609	4	0	0	0	0	0
41143	397613	4	1	2	1	1	5
41143	397620	4	0	2	0	1	3
41143	397634	4	2	2	0	2	6
41143	397636	4	0	0	0	0	0
41143	397641	4	1	2	0	1	4
41143	397648	4	0	1	0	1	2
41143	397650	4	0	2	0	0	2
41143	397654	4	1	1	0	1	3
41143	397656	4	0	1	0	1	2
41143	397659	4	2	0	0	1	3
41143	397662	4	2	0	1	0	3
41143	397663	4	0	1	0	0	1
41143	397668	4	0	2	0	0	2
41143	397671	4	2	0	0	1	3
41143	397673	4	2	1	0	0	3
41143	397697	4	2	0	0	3	5
41143	397704	4	1	0	0	0	1
41143	397705	4	3	0	0	1	4
41143	397709	4	1	2	0	2	5
41143	397715	4	1	3	0	1	5
41143	397724	4	1	0	0	0	1
41143	397729	4	1	3	1	0	5
41143	397731	4	1	1	0	2	4
41143	397746	4	3	1	0	2	6
41143	397747	4	0	0	0	0	0
41143	397753	4	0	0	1	0	1
41143	397757	4	1	1	0	0	2
41143	397765	4	1	5	0	0	6
41143	397767	4	1	1	0	1	3
41143	397769	4	2	1	1	0	4
41143	397773	4	1	0	0	1	2
41143	397778	4	0	0	0	3	3
41143	397783	4	0	2	2	1	5
41143	397793	4	1	0	0	0	1
41143	397797	4	0	2	0	0	2
41143	397802	4	0	0	0	1	1
41143	397805	4	1	0	0	2	3
41143	397808	4	1	1	0	0	2
41143	397816	4	0	0	1	0	1
41143	397817	4	1	0	0	1	2
41143	397825	4	1	2	0	2	5
41143	397829	4	0	1	0	2	3
41143	397830	4	0	1	0	1	2
41143	397832	4	3	0	0	1	4
41143	397837	4	1	0	0	1	2
41143	397838	4	1	1	0	0	2
41143	397840	4	0	0	0	3	3
41143	397841	4	1	0	0	0	1
41143	397842	4	2	3	0	0	5
41143	397845	4	1	0	0	3	4
41143	397847	4	2	1	0	2	5
41143	397848	4	1	2	0	1	4
41143	397854	4	2	3	0	1	6
41143	397862	4	0	0	0	0	0
41143	397864	4	1	0	0	0	1
41143	397876	4	1	3	0	2	6
41143	397878	4	2	0	2	1	5
41143	397887	4	2	0	0	4	6
41143	397891	4	0	1	0	0	1
41143	397893	4	0	0	0	3	3
41143	397898	4	3	0	0	1	4
41143	397913	4	2	0	0	0	2
41143	397914	4	2	0	0	1	3
41143	397920	4	2	1	0	1	4
41143	397928	4	1	2	0	1	4
41143	397934	4	0	3	0	1	4
41143	397938	4	1	1	0	0	2
41143	397942	4	4	1	0	1	6
41143	397945	4	2	2	0	2	6
41143	397948	4	0	1	0	0	1
41143	397954	4	1	0	0	2	3
41143	397956	4	3	1	0	1	5
41143	397957	4	0	0	0	0	0
41143	397958	4	3	1	0	0	4
41143	397961	4	0	1	1	0	2
41143	397969	4	3	2	0	0	5
41143	397972	4	0	2	0	1	3
41143	397974	4	2	1	0	1	4
41143	397976	4	2	1	0	1	4
41143	397979	4	0	0	0	0	0
41143	397983	4	0	2	0	0	2
41143	397985	4	0	0	0	0	0
41143	397987	4	3	1	0	1	5
41143	397988	4	2	1	0	2	5
41143	397989	4	2	1	0	0	3
41143	397991	4	2	0	0	0	2
41143	397992	4	0	1	0	0	1
41143	397996	4	1	2	0	1	4
41143	397998	4	0	0	0	1	1
41143	398001	4	0	1	0	0	1
41143	398010	4	1	1	0	1	3
41143	398014	4	0	1	0	0	1
41143	398017	4	2	0	0	2	4
41143	398020	4	0	1	0	0	1
41143	398021	4	2	2	0	0	4
41143	398022	4	0	1	0	0	1
41143	398027	4	2	0	0	0	2
41143	398029	4	0	1	1	0	2
41143	398031	4	0	1	0	0	1
41143	398037	4	1	2	0	1	4
41143	398039	4	1	0	0	2	3
41143	398043	4	2	0	0	0	2
41143	398044	4	0	1	0	0	1
41143	398048	4	1	0	1	1	3
41143	398049	4	3	2	0	0	5
41143	398055	4	3	0	0	1	4
41143	398057	4	4	1	0	3	8
41143	398058	4	0	1	0	2	3
41143	398064	4	1	1	0	0	2
41143	398066	4	0	0	0	0	0
41143	398071	4	2	2	0	0	4
41143	398079	4	2	0	0	1	3
41143	398081	4	1	1	0	0	2
41143	398082	4	1	2	0	2	5
41143	398085	4	2	1	1	0	4
41143	398086	4	1	0	0	2	3
41143	398089	4	2	0	0	0	2
41143	398092	4	0	1	0	2	3
41143	398094	4	2	0	0	2	4
